UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women,group_id
uuid_00283,0,10,1936,0,0,0,13,0,0,0,0,3,0,0,4
uuid_00284,0,8,2747,0,130,1,0,2,1,0,0,1,100,2,4
uuid_00285,1,97,13,0,5,3,34,4,0,4,1,0,32,36,3
uuid_00286,0,16,6,223,0,0,84,0,0,0,0,0,0,0,0
uuid_00287,0,23,0,98,0,0,0,0,0,0,215,4,8,3,6
uuid_00288,17,127,0,0,5,5,198,15,0,0,30,1012,0,0,2
uuid_00289,3,2,1,0,1,0,0,359,2,0,0,0,1,1,9
uuid_00290,2,77,1,0,0,187,1,4,0,0,21,4,0,1,7
uuid_00291,0,697,0,6,0,0,1862,0,0,13,0,14,0,247,5
uuid_00292,0,4,3,0,12,1,151,9,0,1,0,1,2,98,5
uuid_00293,0,0,2046,0,0,0,0,1,0,0,28,0,0,0,4
uuid_00294,0,893,0,1,0,0,0,0,0,0,0,0,0,0,1
uuid_00295,0,1146,0,0,0,1,1,0,0,0,0,0,0,0,1
uuid_00296,0,247,13,0,0,0,5,29,13,1,3,0,3,3,1
uuid_00297,0,1,9196,0,0,0,2,46,0,0,0,0,1,0,4
uuid_00298,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1
uuid_00299,0,433,60,8,0,0,4,45,2,0,0,0,7,0,1
uuid_00300,0,0,275,0,0,0,0,22,0,0,250,0,2,0,4
uuid_00301,0,0,2998,0,0,0,0,0,0,0,0,0,0,0,4
uuid_00302,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5
uuid_00303,34,1,79,0,55,0,92,264,45,2,145,0,65,62,3
uuid_00304,0,0,325,0,0,0,0,1,0,0,0,475,0,0,2
uuid_00305,0,0,1925,0,0,0,0,0,0,0,0,0,0,0,4
uuid_00306,0,47,0,0,0,0,3,3,0,0,16,0,85,3,3
uuid_00307,88,0,74,0,69,0,0,492,66,0,0,0,67,87,9
uuid_00308,0,0,914,0,0,0,0,15,0,0,0,0,0,0,4
uuid_00309,0,0,781,0,0,0,0,0,0,0,0,0,0,0,4
uuid_00310,19,0,99,0,27,0,0,61,25,4,0,0,20,17,3
uuid_00311,0,1,1,0,0,0,15,24,0,0,109,427,0,0,2
uuid_00312,104,9,0,0,0,7,24,6,0,0,0,6,20,0,10
uuid_00313,0,8,0,0,0,2,0,23,0,0,0,345,0,0,2
uuid_00314,0,0,0,0,0,0,1,0,0,0,0,627,0,0,2
uuid_00315,0,34,4,0,0,0,1,1,2,0,0,3451,0,0,2
uuid_00316,0,0,0,0,0,0,0,6,0,0,0,508,0,0,2
uuid_00317,59,20,182,0,16,1,30,135,18,0,3,12,17,26,3
uuid_00318,0,32,444,0,0,0,2,0,0,0,4,0,0,0,4
uuid_00319,0,464,2,0,0,0,6,2,0,0,0,14,138,0,1
uuid_00320,47,0,2,0,0,2,1,0,0,1,0,1159,0,0,2
uuid_00321,768,0,0,0,0,0,0,0,0,0,0,0,0,0,10
uuid_00322,0,325,18,20,1,0,1,0,0,0,0,1,0,0,1
uuid_00323,3,49,121,0,2,9,20,167,3,48,16,3,9,8,3
